cluster_a,cluster_b,new_cluster,edge_u,edge_v,distance,size
142,269,400,142,269,0.0104403,2
312,333,401,312,333,0.0152643,2
359,399,402,359,399,0.0190263,2
298,329,403,298,329,0.0222036,2
366,383,404,366,383,0.023,2
2,111,405,2,111,0.0245153,2
291,367,406,291,367,0.0245967,2
231,266,407,231,266,0.02502,2
16,63,408,16,63,0.0250599,2
332,358,409,332,358,0.025632,2
313,341,410,313,341,0.0269258,2
203,235,411,203,235,0.0280179,2
362,402,412,362,399,0.0311127,3
31,43,413,31,43,0.0317648,2
322,349,414,322,349,0.0337343,2
330,371,415,330,371,0.034,2
130,195,416,130,195,0.035609,2
290,410,417,290,313,0.0371618,3
378,392,418,378,392,0.0372022,2
34,91,419,34,91,0.0376431,2
15,42,420,15,42,0.0386264,2
307,395,421,307,395,0.0386394,2
296,324,422,296,324,0.0391152,2
295,320,423,295,320,0.0412311,2
403,387,424,329,387,0.0450111,3
417,390,425,341,390,0.0457056,4
317,325,426,317,325,0.0460435,2
293,346,427,293,346,0.0480104,2
350,418,428,350,392,0.0487032,3
301,345,429,301,345,0.0490408,2
11,28,430,11,28,0.0496488,2
304,361,431,304,361,0.0504876,2
159,172,432,159,172,0.051264,2
309,373,433,309,373,0.0518652,2
433,380,434,373,380,0.0539073,3
427,391,435,293,391,0.0550091,3
239,271,436,239,271,0.0559017,2
379,385,437,379,385,0.0572451,2
423,356,438,295,356,0.059,3
89,116,439,89,116,0.0590762,2
401,397,440,333,397,0.0607289,3
306,340,441,306,340,0.061,2
38,46,442,38,46,0.0614003,2
201,242,443,201,242,0.0616604,2
66,108,444,66,108,0.0616847,2
310,337,445,310,337,0.0622977,2
438,334,446,295,334,0.0634114,4
318,384,447,318,384,0.0636003,2
294,377,448,294,377,0.0638905,2
424,414,449,298,322,0.064195,5
205,262,450,205,262,0.0650077,2
360,394,451,360,394,0.0670671,2
409,415,452,358,371,0.0676757,4
302,347,453,302,347,0.0686804,2
238,288,454,238,288,0.0711969,2
200,280,455,200,280,0.0715612,2
429,393,456,301,393,0.0720347,3
74,77,457,74,77,0.0725603,2
41,85,458,41,85,0.0726705,2
175,192,459,175,192,0.0727186,2
144,161,460,144,161,0.0730068,2
331,456,461,331,393,0.0730616,4
339,375,462,339,375,0.0733894,2
72,99,463,72,99,0.0735459,2
342,452,464,342,358,0.0743303,5
133,157,465,133,157,0.0745252,2
