cluster_a,cluster_b,new_cluster,distance,size
142,269,400,0.0104403,2
312,333,401,0.0152643,2
359,399,402,0.0190263,2
298,329,403,0.0222036,2
366,383,404,0.023,2
2,111,405,0.0245153,2
291,367,406,0.0245967,2
231,266,407,0.02502,2
16,63,408,0.0250599,2
332,358,409,0.025632,2
313,341,410,0.0269258,2
203,235,411,0.0280179,2
362,402,412,0.0311127,3
31,43,413,0.0317648,2
322,349,414,0.0337343,2
330,371,415,0.034,2
130,195,416,0.035609,2
290,410,417,0.0371618,3
378,392,418,0.0372022,2
34,91,419,0.0376431,2
15,42,420,0.0386264,2
307,395,421,0.0386394,2
296,324,422,0.0391152,2
295,320,423,0.0412311,2
403,387,424,0.0450111,3
417,390,425,0.0457056,4
317,325,426,0.0460435,2
293,346,427,0.0480104,2
350,418,428,0.0487032,3
301,345,429,0.0490408,2
11,28,430,0.0496488,2
304,361,431,0.0504876,2
159,172,432,0.051264,2
309,373,433,0.0518652,2
433,380,434,0.0539073,3
427,391,435,0.0550091,3
239,271,436,0.0559017,2
379,385,437,0.0572451,2
423,356,438,0.059,3
89,116,439,0.0590762,2
401,397,440,0.0607289,3
306,340,441,0.061,2
38,46,442,0.0614003,2
201,242,443,0.0616604,2
66,108,444,0.0616847,2
310,337,445,0.0622977,2
438,334,446,0.0634114,4
318,384,447,0.0636003,2
294,377,448,0.0638905,2
424,414,449,0.064195,5
205,262,450,0.0650077,2
360,394,451,0.0670671,2
409,415,452,0.0676757,4
302,347,453,0.0686804,2
238,288,454,0.0711969,2
200,280,455,0.0715612,2
429,393,456,0.0720347,3
74,77,457,0.0725603,2
41,85,458,0.0726705,2
175,192,459,0.0727186,2
144,161,460,0.0730068,2
331,456,461,0.0730616,4
339,375,462,0.0733894,2
72,99,463,0.0735459,2
342,452,464,0.0743303,5
133,157,465,0.0745252,2
166,198,466,0.0746726,2
169,219,467,0.0761577,2
82,405,468,0.0770779,3
173,196,469,0.0771622,2
26,92,470,0.0774145,2
441,352,471,0.0785493,3
308,446,472,0.0790569,5
297,461,473,0.0801561,5
351,447,474,0.0802808,3
152,186,475,0.0805047,2
404,398,476,0.0809938,3
327,428,477,0.0829277,4
212,281,478,0.0832166,2
162,202,479,0.0844334,2
52,71,480,0.0853815,2
256,283,481,0.0857963,2
305,464,482,0.0858429,6
103,114,483,0.086209,2
445,471,484,0.0872067,5
400,217,485,0.0882326,3
128,443,486,0.0906973,3
449,412,487,0.0907965,8
425,365,488,0.0912414,5
180,194,489,0.0917061,2
178,485,490,0.0919239,4
131,176,491,0.0920217,2
473,396,492,0.0943663,6
426,372,493,0.0947629,3
315,382,494,0.0948472,2
299,389,495,0.0950368,2
102,113,496,0.0954411,2
127,240,497,0.0970824,2
354,434,498,0.0976729,4
45,115,499,0.0980867,2
230,455,500,0.0991564,3
495,476,501,0.0998098,5
270,275,502,0.09993,2
155,255,503,0.102786,2
35,95,504,0.10316,2
363,501,505,0.103233,6
386,435,506,0.103325,4
494,451,507,0.104,4
247,260,508,0.104389,2
492,357,509,0.104809,7
328,374,510,0.105224,2
453,355,511,0.105304,3
493,477,512,0.106452,7
474,369,513,0.106944,4
511,335,514,0.107187,4
512,506,515,0.108467,11
87,112,516,0.108904,2
444,69,517,0.108931,3
14,18,518,0.109041,2
459,490,519,0.109202,6
503,188,520,0.109252,3
222,232,521,0.110023,2
376,437,522,0.110059,3
37,65,523,0.110309,2
36,83,524,0.111158,2
338,381,525,0.114004,2
430,457,526,0.11414,4
524,98,527,0.114158,3
9,480,528,0.115434,3
4,439,529,0.115948,3
282,287,530,0.118966,2
316,514,531,0.119206,5
303,482,532,0.119218,7
13,118,533,0.119503,2
58,94,534,0.119854,2
223,265,535,0.120801,2
528,81,536,0.121037,4
0,119,537,0.121037,2
1,88,538,0.122102,2
129,258,539,0.122102,2
475,436,540,0.123037,4
10,107,541,0.12516,2
422,484,542,0.125925,7
55,80,543,0.126696,2
472,510,544,0.128062,7
122,520,545,0.128082,4
135,215,546,0.128798,2
251,278,547,0.128888,2
40,61,548,0.129468,2
300,498,549,0.130096,5
537,44,550,0.131947,3
319,505,551,0.132484,7
70,541,552,0.13336,3
460,229,553,0.134826,3
143,253,554,0.136854,2
140,174,555,0.137317,2
448,348,556,0.137441,3
8,533,557,0.139786,3
321,421,558,0.140602,3
532,368,559,0.140698,8
559,323,560,0.142555,9
507,388,561,0.142636,5
146,486,562,0.142843,4
50,62,563,0.143056,2
343,513,564,0.1436,5
147,467,565,0.143951,3
134,181,566,0.14442,2
554,248,567,0.145066,3
557,24,568,0.145962,4
33,93,569,0.146455,2
516,106,570,0.146485,3
336,364,571,0.146769,2
125,191,572,0.147513,2
568,90,573,0.147763,5
132,545,574,0.147763,5
29,536,575,0.149402,5
491,226,576,0.151238,3
555,246,577,0.154467,3
370,522,578,0.157385,4
549,560,579,0.157892,14
571,578,580,0.158937,6
182,249,581,0.15911,2
209,454,582,0.160562,3
406,579,583,0.161555,16
311,353,584,0.161892,2
47,110,585,0.162262,2
479,547,586,0.162484,4
523,585,587,0.162754,4
5,104,588,0.163086,2
49,463,589,0.163918,3
158,572,590,0.164575,3
123,151,591,0.165245,2
167,189,592,0.16556,2
420,109,593,0.165641,3
25,587,594,0.165946,5
544,580,595,0.166643,13
551,314,596,0.166736,8
575,48,597,0.169198,6
539,272,598,0.170026,3
344,487,599,0.170696,9
6,534,600,0.171292,3
411,254,601,0.171977,3
199,274,602,0.173003,2
214,567,603,0.173303,4
525,564,604,0.175756,7
138,244,605,0.176465,2
469,243,606,0.177902,3
156,606,607,0.17978,4
73,527,608,0.180613,4
19,64,609,0.182025,2
170,206,610,0.183439,2
604,462,611,0.184981,9
558,488,612,0.185,8
595,515,613,0.185003,24
526,483,614,0.185267,6
593,59,615,0.187096,4
589,529,616,0.187211,6
53,96,617,0.18783,2
213,535,618,0.188279,3
596,613,619,0.188958,32
588,496,620,0.190518,4
615,552,621,0.190539,7
193,245,622,0.190709,2
57,76,623,0.19101,2
543,68,624,0.1922,3
594,614,625,0.194031,11
599,509,626,0.194371,16
609,563,627,0.195133,4
517,419,628,0.195318,5
12,597,629,0.19642,7
608,627,630,0.19703,8
79,617,631,0.197327,3
612,440,632,0.197365,11
600,78,633,0.198658,4
548,628,634,0.199201,7
442,75,635,0.199625,3
149,221,636,0.202277,2
145,590,637,0.203217,4
561,531,638,0.205626,10
