dataset,k,mode,threads,edge_time,sort_time,kruskal_time,total_time,merges
2spiral.csv,2,seq,1,0.00393696,0.0123716,5.0397e-05,0.0163592,998
2spiral.csv,2,par,1,0.00590752,0.00959116,5.2876e-05,0.0155518,998
2spiral.csv,2,par,2,0.00413523,0.00913901,5.8642e-05,0.0133331,998
2spiral.csv,2,par,4,0.0045877,0.0111194,5.7999e-05,0.0157653,998
2spiral.csv,2,par,8,0.00349681,0.0126542,6.2337e-05,0.0162136,998
3MC.csv,3,seq,1,0.00106113,0.00319895,6.005e-05,0.0043204,397
3MC.csv,3,par,1,0.00131567,0.00331526,5.1917e-05,0.0046831,397
3MC.csv,3,par,2,0.00130139,0.00312072,6.7429e-05,0.00448986,397
3MC.csv,3,par,4,0.00128355,0.0030851,4.9966e-05,0.00441883,397
3MC.csv,3,par,8,0.00132957,0.00263989,5.6855e-05,0.00402662,397
cure-t2-4k.csv,4,seq,1,0.0551862,0.136524,0.00189009,0.193601,4196
cure-t2-4k.csv,4,par,1,0.0576491,0.132517,0.00164285,0.191809,4196
cure-t2-4k.csv,4,par,2,0.045134,0.132924,0.00205067,0.180109,4196
cure-t2-4k.csv,4,par,4,0.0379862,0.141761,0.0018955,0.181643,4196
cure-t2-4k.csv,4,par,8,0.0336201,0.152652,0.00231876,0.188591,4196
banana.csv,2,seq,1,0.0682205,0.136932,0.00198154,0.207134,4809
banana.csv,2,par,1,0.0737601,0.141471,0.00162331,0.216855,4809
banana.csv,2,par,2,0.128026,0.154623,0.00167563,0.284325,4809
banana.csv,2,par,4,0.0522309,0.166898,0.00163993,0.220769,4809
banana.csv,2,par,8,0.0495448,0.165576,0.00181925,0.21694,4809
chainlink.csv,2,seq,1,0.0039396,0.0118384,0.000152309,0.0159305,998
chainlink.csv,2,par,1,0.00493269,0.0165682,0.00013067,0.0216318,998
chainlink.csv,2,par,2,0.00614908,0.0108534,0.000128574,0.0171314,998
chainlink.csv,2,par,4,0.00411618,0.0107497,0.000121639,0.0149877,998
chainlink.csv,2,par,8,0.00492275,0.0131536,0.000324008,0.0184007,998
dataset,k,mode,threads,edge_time,sort_time,kruskal_time,total_time,merges
2spiral.csv,2,seq,1,0.00558803,0.0101289,4.0931e-05,0.0157581,998
2spiral.csv,2,par,1,0.00522685,0.00955202,7.4314e-05,0.0148535,998
2spiral.csv,2,par,2,0.00533916,0.011342,8.2341e-05,0.0167638,998
2spiral.csv,2,par,4,0.00458627,0.00968609,5.3062e-05,0.0143258,998
2spiral.csv,2,par,8,0.00468411,0.010282,4.5408e-05,0.0150117,998
3MC.csv,3,seq,1,0.00123357,0.0037394,4.8616e-05,0.00502186,397
3MC.csv,3,par,1,0.00141069,0.00315562,4.8479e-05,0.00461507,397
3MC.csv,3,par,2,0.00139954,0.00416494,5.3379e-05,0.0056182,397
3MC.csv,3,par,4,0.00177929,0.00290627,5.0836e-05,0.00473671,397
3MC.csv,3,par,8,0.00118754,0.00261287,6.3176e-05,0.00386394,397
cure-t2-4k.csv,4,seq,1,0.0621649,0.125834,0.00259282,0.190592,4196
cure-t2-4k.csv,4,par,1,0.0556955,0.138075,0.00143481,0.195206,4196
cure-t2-4k.csv,4,par,2,0.0464218,0.155528,0.00190784,0.203858,4196
cure-t2-4k.csv,4,par,4,0.039167,0.132106,0.00194955,0.173222,4196
cure-t2-4k.csv,4,par,8,0.0308816,0.123596,0.00187812,0.156356,4196
banana.csv,2,seq,1,0.066938,0.142014,0.00164297,0.210595,4809
banana.csv,2,par,1,0.069888,0.144095,0.00191183,0.215895,4809
banana.csv,2,par,2,0.0656914,0.182566,0.00346326,0.251721,4809
