dataset,k,mode,threads,edge_time,sort_time,kruskal_time,total_time,merges
2spiral.csv,2,seq,1,0.00468285,0.00951675,5.7343e-05,0.0142572,998
2spiral.csv,2,par,1,0.00449973,0.00913611,5.1614e-05,0.0136876,998
2spiral.csv,2,par,2,0.00451385,0.0092984,5.8105e-05,0.0138706,998
2spiral.csv,2,par,4,0.0033832,0.0105332,4.8242e-05,0.0139649,998
2spiral.csv,2,par,8,0.00316439,0.00861241,5.2636e-05,0.0118297,998
3MC.csv,3,seq,1,0.000957681,0.00349347,5.603e-05,0.00450736,397
3MC.csv,3,par,1,0.00100504,0.00346324,4.9751e-05,0.00451825,397
3MC.csv,3,par,2,0.00152602,0.00288162,5.4173e-05,0.00446206,397
3MC.csv,3,par,4,0.00104422,0.00264513,4.7951e-05,0.00373752,397
3MC.csv,3,par,8,0.00140064,0.00246563,4.8443e-05,0.00391501,397
cure-t2-4k.csv,4,seq,1,0.0560432,0.148456,0.0018165,0.206316,4196
cure-t2-4k.csv,4,par,1,0.0553369,0.135897,0.00213381,0.193368,4196
cure-t2-4k.csv,4,par,2,0.0463439,0.127102,0.00179457,0.175241,4196
cure-t2-4k.csv,4,par,4,0.0390573,0.13358,0.00183177,0.174469,4196
cure-t2-4k.csv,4,par,8,0.0333673,0.140303,0.00175722,0.175428,4196
banana.csv,2,seq,1,0.0768371,0.138108,0.00295536,0.217901,4809
banana.csv,2,par,1,0.0745323,0.157785,0.00203527,0.234352,4809
banana.csv,2,par,2,0.0656627,0.159056,0.00200738,0.226727,4809
banana.csv,2,par,4,0.0513887,0.184064,0.00256026,0.238013,4809
banana.csv,2,par,8,0.0442409,0.132037,0.00185444,0.178133,4809
chainlink.csv,2,seq,1,0.00492864,0.0112193,0.000140305,0.0162885,998
chainlink.csv,2,par,1,0.00547462,0.0114177,0.000130864,0.0170235,998
chainlink.csv,2,par,2,0.00493525,0.0111725,0.000176578,0.0162846,998
chainlink.csv,2,par,4,0.00391389,0.0104244,0.000130514,0.0144691,998
chainlink.csv,2,par,8,0.00363116,0.0110772,0.000132303,0.014841,998
